kod_stacji;nazwa_stacji;wojewodztwo_zrodlo;miejscowosc_zrodlo;adres;wgs84_fi_n;wgs84_lambda_e;kod_simc;korekta_powod
PkPrzemWIOSDolin;Przemyśl-Dolińskiego-WIOŚ;PODKARPACKIE;PRZEMYŚL;ul. Dolińskiego 4;49.786667;22.758056;0971672;same_gmina_unique
PkPrzemWIOSPDom;Przemyśl-Pl.Dominikański-WIOS;PODKARPACKIE;PRZEMYŚL;pl. Dominikański;49.782778;22.766667;0971672;same_gmina_unique
PkPrzemWSSEGlaz;Przemyśl-Glazera-WSSE;PODKARPACKIE;PRZEMYŚL;ul. Glazera 9;49.786667;22.759167;0971672;same_gmina_unique
PkPrzemWSSEMariac;Przemyśl-Mariacka-WSSE;PODKARPACKIE;PRZEMYŚL;ul. Mariacka 4;49.778333;22.788611;0971672;same_gmina_unique
PkPrzemyslWIOSMick;Przemyśl-Mickiewicza-WIOS;PODKARPACKIE;PRZEMYŚL;ul. Mickiewicza;49.782433;22.782908;0971672;same_gmina_unique
Pm.09.s067m;WSSE Malbork;POMORSKIE;MALBORK;ul. Konopnickiej 6;54.031667;19.034167;0932815;same_gmina_unique
PmGac;WIOŚ Gać - Słowiński Park Narodowy;POMORSKIE;GAĆ;;54.693806;17.458067;0744410;manual: Gać, Słowiński Park Narodowy -> gm. Główczyce
PmMalMickiew;Malbork, ul. Mickiewicza;POMORSKIE;MALBORK;ul. Mickiewicza;54.031247;19.032899;0932815;same_gmina_unique
SkJedrMieszkMOB;Jędrzejów, MOBILNA;ŚWIĘTOKRZYSKIE;JĘDRZEJÓW;ul. Mieszka I 9;50.643673;20.284885;0947030;same_gmina_unique
SKNowinyCemen;Nowiny;ŚWIĘTOKRZYSKIE;SITKÓWKA NOWINY;ul. Przemysłowa 32;50.803894;20.543278;0267453;manual: Sitkówka-Nowiny/Nowiny -> Nowiny
SkNowiParkow;Nowiny, ul. Parkowa;ŚWIĘTOKRZYSKIE;NOWINY;ul. Parkowa;50.823108;20.533506;0267453;same_gmina_unique
SkSolecZdroj;Solec-Zdrój;ŚWIĘTOKRZYSKIE;SOLEC ZDRÓJ;;50.358659;20.886184;0271035;manual: Solec Zdrój -> Solec-Zdrój
SkTrzciOsiek;Trzcianka;ŚWIĘTOKRZYSKIE;TRZCIANKA;Trzcianka 7;50.486298;21.394103;0802283;manual: Trzcianka, gm. Osiek wg kodu stacji/adresu
SkWloszKilinMOB;Włoszczowa, ul. Kilińskiego;ŚWIĘTOKRZYSKIE;WŁOSZCZOWA;ul. Kilińskiego;50.850321;19.97199;0948472;same_gmina_unique
SlKuzniGliw_wiejs;Kuźnia Nieb_gliwic-WIOŚ;ŚLĄSKIE;KUŹNIA NIEBOROWICKA;ul. Wiejska 12;-999.0;-999.0;0219000;manual: Kuźnia Nieborowicka -> Kuźnia Nieborowska
WmBiskupMickMOB;WIOŚ Biskupiec-Mobilna;WARMIŃSKO-MAZURSKIE;BISKUPIEC;ul. Mickiewicza 8;53.860702;20.957892;0964590;unique_RM96
WmElk_WSSE_Toru;Elk-PSSE-Torunska;WARMIŃSKO-MAZURSKIE;EŁK;ul. Toruńska 6A/1;53.831389;22.350278;0977670;unique_RM96
WmElkStadion;Ełk, ul. Piłsudskiego;WARMIŃSKO-MAZURSKIE;EŁK;ul. Piłsudskiego 27;53.828389;22.348338;0977670;unique_RM96
WmElkWIOS_PM10;Ełk - ul. Toruńska - WIOŚ PM10;WARMIŃSKO-MAZURSKIE;EŁK;ul. Toruńska 8 A;53.831389;22.350278;0977670;unique_RM96
WmGlitajn;WIOŚ Glitajny;WARMIŃSKO-MAZURSKIE;GLITAJNY;;54.184728;21.152914;0478658;manual: Glitajny, gm. Korsze wg współrzędnych
WpBoroDrapal;Borówiec, ul. Drapałka;WIELKOPOLSKIE;BORÓWIEC;ul. Drapałka 4;52.27672;17.074187;0586371;manual: Borówiec, ul. Drapałka -> gm. Kórnik
WpKonin31017;Konin, ul. Wieniawskiego 8;WIELKOPOLSKIE;KONIN;ul. Wieniawskiego 8;-999.0;-999.0;0948667;same_gmina_unique
